"Artist","total_artist_streams"
"Carly Rae Jepsen",14469
"Lady Gaga",9387
"Kelly Clarkson",7596
"Molly Sanden",3054
"Fickle Friends",2799
"Ellie Goulding",2669
"Dua Lipa",2588
"Ariana Grande",2562
"The Chainsmokers",2291
"Taylor Swift",2131
"Katy Perry",2040
"Marina",1961
"Gryffin",1884
"Ava Max",1752
"Charli XCX",1426
"Delta Goodrem",1390
"Kim Petras",1365
"Sia",1259
"The Knocks",1150
"Seeb",1072
"Britt Nicole",1069
"The Band CAMINO",920
"Dagny",893
"Jesus Culture",826
"Rihanna",755
"Britney Spears",725
"Disco Fries",722
"Lost Kings",697
"Kristen Anderson-Lopez",683
"Aly & AJ",620
"Rachel Platten",607
"The Weeknd",603
"Samantha Jade",593
"Loote",586
"Christina Aguilera",580
"The Killers",544
"Midnight Kids",538
"Mariah Carey",537
"Fifth Harmony",533
"Ryn Weaver",519
"Gareth Emery",517
"Cheat Codes",508
"David Guetta",502
"Tove Lo",502
"Miley Cyrus",501
"Nicki Minaj",488
"Avril Lavigne",483
"Cardiknox",481
"Adele",465
"The Strike",465
"Ashley O",461
"Vigiland",442
"Porter Robinson",426
"Nightly",417
"NOTD",396
"Agnes",360
"Cascada",359
"Kygo",359
"The Spacies",356
"Zara Larsson",353
"P!nk",347
"Little Mix",340
"Zedd",333
"Will Ferrell",331
"Selena Gomez",323
"Alan Walker",320
"Sigala",310
"Cher",309
"Mannheim Steamroller",303
"The 1975",302
"Armin van Buuren",295
"Ben Platt",289
"Calvin Harris",288
"Whitney Houston",287
"Hannah Montana",285
"Avicii",284
"Celine Dion",281
"Pale Waves",263
"Florrie",251
"Josh Groban",251
"Kylie Minogue",250
"Danny L Harle",247
"Walk the Moon",246
"The Kid LAROI",245
"Luke Sexton",239
"Demi Lovato",237
"Christina Grimmie",235
"Fall Out Boy",234
"Sheppard",229
"Flo Rida",228
"Jess Glynne",221
"Eric Prydz",220
"Camp Kubrick",215
"Steerner",214
"Daya",207
"Allie X",202
"Seven Lions",201
"Clean Bandit",193
"Men at Work",190
"Marshmello",185
"Iggy Azalea",184
"Bebe Rexha",182
"Mako",181
"Audiomachine",179
"Natasha Bedingfield",177
"Kari Jobe",176
"Taio Cruz",172
"CXLOE",164
"Frank Sinatra",161
"Robin Sparkles",159
"Martin Garrix",157
"Evanescence",156
"Jessie J",154
"Foxes",151
"Mimi Webb",150
"MYBADD",150
"Hotel Apache",143
"Francesca Battistelli",139
"Julie Bergan",135
"Silk City",135
"Sondr",134
"Vanessa Carlton",133
"Noah Neiman",132
"Owl City",132
"Carrie Underwood",129
"Elton John",129
"Lauren Daigle",129
"Felicia Barton",128
"The Go-Go's",128
"Giorgio Moroder",127
"Anna Kendrick",125
"Simple Plan",125
"teamwork.",125
"Ella Henderson",121
"Bonnie McKee",120
"Loreen",117
"Alesso",116
"DJ Sammy",116
"Carolina Gaitan - La Gaita",114
"Jim Yosef",113
"Bruce Springsteen",112
"David Foster",111
"DNCE",110
"Andy Williams",109
"Lauv",109
"Coldplay",108
"OneRepublic",108
"Jimmy Buffett",105
"Lana Del Rey",105
"Kim Wilde",103
"Lope & Kantola",103
"MUNA",99
"Rat City",99
"Stefania",99
"Lucas & Steve",97
"Betty Who",94
"Donny Osmond",92
"STANDERWICK",92
"Jimmy Eat World",91
"Candace",90
"The Barden Bellas",90
"3OH!3",89
"Axwell /\ Ingrosso",89
"Sarah Reeves",89
"Alice Chater",88
"Hailee Steinfeld",88
"Terror Jr",87
"The Bangles",87
"Milkman",86
"Nile Rodgers",86
"Coy",85
"DRYM",85
"Hayley Kiyoko",85
"Vince Guaraldi Trio",85
"3LAU",83
"Karmin",83
"The Hunna",83
"Leadley",81
"Elle Fanning",80
"Joel Hirsch",80
"Nat King Cole",80
"Red One",80
"The Weather Girls",80
"Fly By Midnight",79
"Shane & Shane",79
"Five for Fighting",78
"Flume",78
"Matisse & Sadko",76
"twenty one pilots",76
"Florence + the Machine",75
"hallman",75
"Keith Urban",75
"Lindana",75
"Malia J",75
"Jose Feliciano",73
"Pitbull",73
"Rina Sawayama",73
"Selena Gomez & the Scene",73
"Ella Eyre",71
"Mike Perry",71
"Rita Ora",71
"MATOMA",70
"The Pointer Sisters",69
"tyDi",69
"Charlie Puth",68
"Jordin Sparks",68
"Serg Halen",68
"Pierce Fulton",67
"Snow Patrol",67
"The Midnight",67
"R3hab",66
"Randy Crenshaw",65
"Swedish House Mafia",65
"Thurl Ravenscroft",65
"Trans-Siberian Orchestra",64
"Wynter Gordon",64
"Journey",63
"Tim Halperin",63
"HRVY",62
"Hyper Potions",62
"No Rome",62
"Benjamin Ingrosso",61
"Belinda Carlisle",60
"Chaka Khan",60
"Brenda Lee",59
"Hillsong United",59
"Maroon 5",59
"Scavenger Hunt",59
"Auli'i Cravalho",58
"FM-84",58
"Ace of Base",57
"Daughtry",57
"Krewella",57
"Percy Faith & His Orchestra & Chorus",57
"Starship",57
"Great Good Fine OK",56
"River Valley Worship",56
"Strange Names",56
"Christine and the Queens",55
"Vavo",55
"Ed Sheeran",54
"Madeon",54
"Timeflies",54
"Eddie Money",53
"Kenny G",53
"PRiZM",53
"Tritonal",50
"GATTUSO",49
"Phil Collins",49
"Thomas Hayes",49
"Panic! at the Disco",48
"Van Halen",48
"Edward Maya",47
"Justin Jesso",47
"Mike Posner",47
"Vanessa",47
"Boys Like Girls",46
"KC & The Sunshine Band",46
"Kiesza",46
"Louis Armstrong",46
"Kesha",45
"Lionel Richie",45
"The B-52's",45
"Vince Vance & The Valiants",45
"Aretha Franklin",44
"Bon Jovi",44
"Dead or Alive",44
"Heart Of Gold",44
"Pat Benatar",44
"Roger Bart",44
"A Great Big World",43
"Backfrom84",43
"John De Sohn",43
"*NSYNC",42
"Destiny's Child",42
"Earth Wind & Fire",42
"Laidback Luke",42
"Shakira",42
"Tobtok",42
"Years & Years",41
"Jennifer Lopez",40
"Rufus",40
"Syn Cole",40
"Astrid S",39
"Burl Ives",39
"Cass Elliot",39
"Dolly Parton",39
"John Martin",39
"Meghan Trainor",39
"Samuel E. Wright",39
"Billy Joel",38
"Cash Cash",38
"Kristin Chenoweth",38
"Taylor Dayne",38
"Blondie",37
"Jessica Mauboy",37
"Paramore",37
"Troye Sivan",37
"Usher",37
"Ciara",36
"Conrad Sewell",36
"Katrina & The Waves",36
"Pat Farrell",36
"Colony House",35
"Johnny Mathis",35
"Lee Ann Womack",35
"Metro Station",35
"MGM Studio Chorus",35
"The Ivy",35
"Arty",34
"Kenny Loggins",34
"LMFAO",34
"Madison Beer",34
"MercyMe",34
"Carpenter Brut",33
"Dimitri Vangelis & Wyman",33
"Emeli Sande",33
"Loving Caliber",33
"Snakehips",33
"Virginia To Vegas",33
"a-ha",32
"Kristene DiMarco",32
"Verka Serduchka",32
"Bryan Adams",31
"Eva",31
"Feenixpawl",31
"Fergie",31
"Galantis",31
"Green Day",31
"Loverboy",31
"TeamMate",31
"The Aces",31
"The Ronettes",31
"Daniel Powter",30
"Susan Egan",30
"The Romantics",30
"The Wanted",30
"Cher Lloyd",29
"Gayla Peevey",29
"Martin Solveig",29
"Miya Miya",29
"The Motion Epic",29
"Carlie Hanson",28
"Haley Reinhart",28
"Hilary Duff",28
"Rascal Flatts",28
"Enya",27
"Generation X",27
"Judah & the Lion",27
"Lou Monte",27
"Tori Kelly",27
"Wiz Khalifa",27
"Elle Winter",26
"Hawk Nelson",26
"Heart",26
"Olly Murs",26
"Rachel Taylor",26
"The Runaway Club",26
"Toby Keith",26
"Elvis Presley",25
"Idina Menzel",25
"The Veronicas",25
"Bob Rivers",24
"Colbie Caillat",24
"Dami Im",24
"Fairlane",24
"Gwen Stefani",24
"Howie Day",24
"Joan Jett",24
"John Parr",24
"Olivia Olson",24
"The Disney Afternoon Studio Chorus",24
"Calum Scott",23
"DHT",23
"Judy Collins",23
"Kool & The Gang",23
"Phineas and the Ferbtones",23
"Robin Packalen",23
"Steve Winwood",23
"Thelma Houston",23
"DJ Khaled",22
"Junior Doctor",22
"Nikki Williams",22
"Fleur East",21
"Kanye West",21
"5 Seconds of Summer",20
"CHVRCHES",20
"Gene Autry",20
"Nause",20
"Bing Crosby",19
"Cyndi Lauper",19
"dreamr.",19
"fun.",19
"George Michael",19
"JoJo",19
"Peg Parnevik",19
"The Black Eyed Peas",19
"Ben Haenow",18
"Chromeo",18
"Imagine Dragons",18
"Joan Osborne",18
"Leona Lewis",18
"Nena",18
"No Doubt",18
"Nova Miller",18
"The Saturdays",18
"Yeah Yeah Yeahs",18
"Alexandra Stan",17
"Breathe Carolina",17
"Fear of Tigers",17
"John Mellencamp",17
"One Direction",17
"Pink Martini",17
"Sarah McLachlan",17
"Bastille",16
"Conan Gray",16
"Dev",16
"Illenium",16
"The Fray",16
"Alex Clare",15
"Backstreet Boys",15
"Cady Groves",15
"Cobra Starship",15
"Danny Gokey",15
"DJ D-Sol",15
"Eurythmics",15
"James Arthur",15
"Jordy",15
"La Roux",15
"Leroy Anderson",15
"Mark Ronson",15
"Matt Redman",15
"Passenger",15
"Queen",15
"The Bettys",15
"The Rembrandts",15
"Tungevaag",15
"Alvin & The Chipmunks",14
"Angela Lansbury",14
"Carmen Twillie",14
"Cliff Edwards",14
"Jason Weaver",14
"Joseph Williams",14
"Judy Kuhn",14
"Secret Nation",14
"The Buggles",14
"Alessia Cara",13
"Bruno Mars",13
"Jessica Sanchez",13
"Jimmy Durante",13
"Lily Allen",13
"Sean Kingston",13
"Stevie Wonder",13
"V V Brown",13
"Band Aid",12
"Beyonce",12
"Billy Idol",12
"Bonnie Tyler",12
"Chumbawamba",12
"Elmo & Patsy",12
"Emma Blackery",12
"Hardwell",12
"Jermaine Stewart",12
"John Denver",12
"Lea Salonga",12
"Machine Gun Kelly",12
"Madonna",12
"Meredith Andrews",12
"Rob Thomas",12
"SAINTE",12
"Sick Individuals",12
"Thomas Helmore",12
"Bobby Helms",11
"Huey Lewis & The News",11
"Los Lobos",11
"Majical Cloudz",11
"Mika",11
"Naked Eyes",11
"Odessa",11
"Punk Party",11
"Raven-Symone",11
"Rebecka Karlsson",11
"The Emotions",11
"Tiesto",11
"Two Friends",11
"Alex Newell",10
"Andrea Bocelli",10
"DJ Cassidy",10
"Havana Brown",10
"Jason Aldean",10
"Lee Greenwood",10
"Lord Huron",10
"Nathan Lane",10
"Paul Simon",10
"Spice Girls",10
"The Cast",10
"The Script",10
"Tommy Tutone",10
"ASTR",9
"Ester Dean",9
"Randy Newman",9
"SG Lewis",9
"Shawn Mendes",9
"Shontelle",9
"The Outfield",9
"Wang Chung",9
"Aaron Daniel Jacob",8
"Clay Aiken",8
"Cobie Smulders",8
"Diana Ross",8
"Don Diablo",8
"Donna Summer",8
"Faith Hill",8
"G.R.L.",8
"Hanna Ferm",8
"Hillsong Worship",8
"James Blunt",8
"Jessica Simpson",8
"John Lennon",8
"Melanie Martinez",8
"Michelle Branch",8
"Newsboys",8
"Nicole Scherzinger",8
"Paula Abdul",8
"Pentatonix",8
"Smash Mouth",8
"Smith & Thell",8
"The All-American Rejects",8
"The Goo Goo Dolls",8
"Unspoken",8
"Van McCoy",8
"A Touch of Class",7
"AC/DC",7
"Antillas",7
"Audrey Assad",7
"Baljeet",7
"Kiiara",7
"Passion Pit",7
"The Cranberries",7
"Timbaland",7
"Annie Murphy",6
"Bananarama",6
"Bowling for Soup",6
"Chantal Kreviazuk",6
"Christina Milian",6
"Christina Perri",6
"David Archuleta",6
"Eric Hutchinson",6
"Genesis",6
"Gladys Knight & The Pips",6
"Gloria Gaynor",6
"Irene Cara",6
"James Newton Howard",6
"Kaci Battaglia",6
"Labrinth",6
"Macklemore & Ryan Lewis",6
"Major Lazer",6
"Neon Hitch",6
"Paul McCartney",6
"The J. Geils Band",6
"The Worship Initiative",6
"Tim McGraw",6
"ABBA",5
"Alan Jackson",5
"Bette Midler",5
"Def Leppard",5
"dreamfone",5
"GAYLE",5
"Ingrid Michaelson",5
"Joan",5
"Jodi Benson",5
"Joel Corry",5
"Justin Timberlake",5
"Lewis Capaldi",5
"Lights",5
"Lizzo",5
"Los Del Rio",5
"Lou Bega",5
"New Hollow",5
"Passion",5
"Peach Prc",5
"Phil Wickham",5
"Ray Parker Jr.",5
"Rick Springfield",5
"The Calling",5
"The Monkees",5
"Timecop1983",5
"Wham!",5
"Dexys Midnight Runners",4
"Mandisa",4
"Marc Cohn",4
"Melanie Amaro",4
"The Vamps",4
