"Artist","monthyear","streams","percent"
"Adele",Oct 2015,66,4.31937172774869
"Adele",Nov 2015,54,3.23741007194245
"Adele",Dec 2015,23,3.6741214057508
"Adele",Jan 2016,10,1.20048019207683
"Adele",Feb 2016,14,3.01724137931034
"Adele",Mar 2016,9,1.26582278481013
"Adele",Apr 2016,13,1.10262934690416
"Adele",May 2016,6,0.336134453781513
"Adele",Jun 2016,6,0.688073394495413
"Adele",Jul 2016,2,0.335570469798658
"Adele",Aug 2016,2,0.207900207900208
"Adele",Sep 2016,1,0.0801924619085806
"Adele",Oct 2016,2,0.160642570281124
"Adele",Nov 2016,4,0.406091370558376
"Adele",Dec 2016,2,0.132802124833997
"Adele",Mar 2017,6,0.356718192627824
"Adele",Apr 2017,1,0.0583771161704612
"Adele",May 2017,3,0.189873417721519
"Adele",Jun 2017,0,0
"Adele",Jul 2017,4,0.401203610832498
"Adele",Aug 2017,1,0.161812297734628
"Adele",Sep 2017,7,0.907911802853437
"Adele",Oct 2017,3,0.346020761245675
"Adele",Nov 2017,0,0
"Adele",Dec 2017,0,0
"Adele",Jan 2018,5,0.20259319286872
"Adele",Feb 2018,3,0.13094718463553
"Adele",Mar 2018,3,0.108420672208168
"Adele",Apr 2018,4,0.164203612479475
"Adele",May 2018,4,0.177069499778663
"Adele",Jun 2018,4,0.169923534409516
"Adele",Jul 2018,2,0.0855798031664527
"Adele",Aug 2018,3,0.122299225438239
"Adele",Sep 2018,22,0.962379702537183
"Adele",Oct 2018,5,0.232342007434944
"Adele",Nov 2018,2,0.104329681794471
"Adele",Dec 2018,1,0.0487092060399415
"Adele",Jan 2019,0,0
"Adele",Feb 2019,0,0
"Adele",Mar 2019,0,0
"Adele",Apr 2019,1,0.0549450549450549
"Adele",May 2019,0,0
"Adele",Jun 2019,0,0
"Adele",Jul 2019,1,0.0693000693000693
"Adele",Aug 2019,11,1.03286384976526
"Adele",Sep 2019,11,1.14107883817427
"Adele",Oct 2019,1,0.0709219858156028
"Agnes",Oct 2015,0,0
"Agnes",Nov 2015,0,0
"Agnes",Dec 2015,0,0
"Agnes",Jan 2016,0,0
"Agnes",Feb 2016,0,0
"Agnes",Mar 2016,0,0
"Agnes",Apr 2016,1,0.0848176420695505
"Agnes",May 2016,0,0
"Agnes",Jun 2016,0,0
"Agnes",Jul 2016,0,0
"Agnes",Aug 2016,0,0
"Agnes",Sep 2016,0,0
"Agnes",Oct 2016,0,0
"Agnes",Nov 2016,0,0
"Agnes",Dec 2016,0,0
"Agnes",Mar 2017,0,0
"Agnes",Apr 2017,1,0.0583771161704612
"Agnes",May 2017,0,0
"Agnes",Jun 2017,0,0
"Agnes",Jul 2017,1,0.100300902708124
"Agnes",Aug 2017,0,0
"Agnes",Sep 2017,0,0
"Agnes",Oct 2017,0,0
"Agnes",Nov 2017,0,0
"Agnes",Dec 2017,0,0
"Agnes",Jan 2018,0,0
"Agnes",Feb 2018,0,0
"Agnes",Mar 2018,0,0
"Agnes",Apr 2018,188,7.7175697865353
"Agnes",May 2018,17,0.752545374059318
"Agnes",Jun 2018,6,0.254885301614274
"Agnes",Jul 2018,9,0.385109114249037
"Agnes",Aug 2018,7,0.285364859355891
"Agnes",Sep 2018,6,0.26246719160105
"Agnes",Oct 2018,0,0
"Agnes",Nov 2018,0,0
"Agnes",Dec 2018,8,0.389673648319532
"Agnes",Jan 2019,56,3.57370772176133
"Agnes",Feb 2019,14,0.861008610086101
"Agnes",Mar 2019,7,0.426309378806334
"Agnes",Apr 2019,2,0.10989010989011
"Agnes",May 2019,0,0
"Agnes",Jun 2019,2,0.134228187919463
"Agnes",Jul 2019,1,0.0693000693000693
"Agnes",Aug 2019,1,0.0938967136150235
"Agnes",Sep 2019,0,0
"Agnes",Oct 2019,1,0.0709219858156028
"Aly & AJ",Oct 2015,4,0.261780104712042
"Aly & AJ",Nov 2015,31,1.85851318944844
"Aly & AJ",Dec 2015,8,1.2779552715655
"Aly & AJ",Jan 2016,1,0.120048019207683
"Aly & AJ",Feb 2016,1,0.21551724137931
"Aly & AJ",Mar 2016,1,0.140646976090014
"Aly & AJ",Apr 2016,0,0
"Aly & AJ",May 2016,6,0.336134453781513
"Aly & AJ",Jun 2016,1,0.114678899082569
"Aly & AJ",Jul 2016,3,0.503355704697987
"Aly & AJ",Aug 2016,0,0
"Aly & AJ",Sep 2016,5,0.400962309542903
"Aly & AJ",Oct 2016,6,0.481927710843374
"Aly & AJ",Nov 2016,21,2.13197969543147
"Aly & AJ",Dec 2016,16,1.06241699867198
"Aly & AJ",Mar 2017,1,0.0594530321046373
"Aly & AJ",Apr 2017,8,0.467016929363689
"Aly & AJ",May 2017,2,0.126582278481013
"Aly & AJ",Jun 2017,2,0.158982511923688
"Aly & AJ",Jul 2017,9,0.902708124373119
"Aly & AJ",Aug 2017,1,0.161812297734628
"Aly & AJ",Sep 2017,5,0.648508430609598
"Aly & AJ",Oct 2017,3,0.346020761245675
"Aly & AJ",Nov 2017,92,6.42458100558659
"Aly & AJ",Dec 2017,43,2.72496831432193
"Aly & AJ",Jan 2018,3,0.121555915721232
"Aly & AJ",Feb 2018,2,0.0872981230903535
"Aly & AJ",Mar 2018,3,0.108420672208168
"Aly & AJ",Apr 2018,5,0.205254515599343
"Aly & AJ",May 2018,34,1.50509074811864
"Aly & AJ",Jun 2018,8,0.339847068819031
"Aly & AJ",Jul 2018,6,0.256739409499358
"Aly & AJ",Aug 2018,2,0.0815328169588259
"Aly & AJ",Sep 2018,3,0.131233595800525
"Aly & AJ",Oct 2018,1,0.0464684014869888
"Aly & AJ",Nov 2018,18,0.938967136150235
"Aly & AJ",Dec 2018,38,1.85094982951778
"Aly & AJ",Jan 2019,3,0.1914486279515
"Aly & AJ",Feb 2019,1,0.0615006150061501
"Aly & AJ",Mar 2019,1,0.0609013398294762
"Aly & AJ",Apr 2019,2,0.10989010989011
"Aly & AJ",May 2019,61,3.6073329390893
"Aly & AJ",Jun 2019,26,1.74496644295302
"Aly & AJ",Jul 2019,2,0.138600138600139
"Aly & AJ",Aug 2019,1,0.0938967136150235
"Aly & AJ",Sep 2019,7,0.726141078838174
"Aly & AJ",Oct 2019,0,0
"Ariana Grande",Oct 2015,9,0.589005235602094
"Ariana Grande",Nov 2015,14,0.839328537170264
"Ariana Grande",Dec 2015,7,1.11821086261981
"Ariana Grande",Jan 2016,8,0.960384153661465
"Ariana Grande",Feb 2016,1,0.21551724137931
"Ariana Grande",Mar 2016,5,0.70323488045007
"Ariana Grande",Apr 2016,6,0.508905852417303
"Ariana Grande",May 2016,189,10.5882352941176
"Ariana Grande",Jun 2016,50,5.73394495412844
"Ariana Grande",Jul 2016,26,4.36241610738255
"Ariana Grande",Aug 2016,44,4.57380457380457
"Ariana Grande",Sep 2016,34,2.72654370489174
"Ariana Grande",Oct 2016,38,3.05220883534137
"Ariana Grande",Nov 2016,65,6.5989847715736
"Ariana Grande",Dec 2016,72,4.7808764940239
"Ariana Grande",Mar 2017,42,2.49702734839477
"Ariana Grande",Apr 2017,22,1.28429655575015
"Ariana Grande",May 2017,8,0.506329113924051
"Ariana Grande",Jun 2017,12,0.95389507154213
"Ariana Grande",Jul 2017,20,2.00601805416249
"Ariana Grande",Aug 2017,11,1.77993527508091
"Ariana Grande",Sep 2017,8,1.03761348897536
"Ariana Grande",Oct 2017,46,5.30565167243368
"Ariana Grande",Nov 2017,56,3.91061452513966
"Ariana Grande",Dec 2017,30,1.90114068441065
"Ariana Grande",Jan 2018,20,0.810372771474878
"Ariana Grande",Feb 2018,55,2.40069838498472
"Ariana Grande",Mar 2018,61,2.20455366823274
"Ariana Grande",Apr 2018,196,8.04597701149425
"Ariana Grande",May 2018,174,7.70252324037185
"Ariana Grande",Jun 2018,86,3.65335598980459
"Ariana Grande",Jul 2018,73,3.12366281557552
"Ariana Grande",Aug 2018,125,5.09580105992662
"Ariana Grande",Sep 2018,75,3.28083989501312
"Ariana Grande",Oct 2018,24,1.11524163568773
"Ariana Grande",Nov 2018,50,2.60824204486176
"Ariana Grande",Dec 2018,80,3.89673648319532
"Ariana Grande",Jan 2019,37,2.36119974473516
"Ariana Grande",Feb 2019,37,2.27552275522755
"Ariana Grande",Mar 2019,14,0.852618757612667
"Ariana Grande",Apr 2019,10,0.549450549450549
"Ariana Grande",May 2019,40,2.36546422235364
"Ariana Grande",Jun 2019,34,2.28187919463087
"Ariana Grande",Jul 2019,34,2.35620235620236
"Ariana Grande",Aug 2019,18,1.69014084507042
"Ariana Grande",Sep 2019,8,0.829875518672199
"Ariana Grande",Oct 2019,8,0.567375886524823
"Ava Max",Oct 2015,0,0
"Ava Max",Nov 2015,0,0
"Ava Max",Dec 2015,0,0
"Ava Max",Jan 2016,0,0
"Ava Max",Feb 2016,0,0
"Ava Max",Mar 2016,0,0
"Ava Max",Apr 2016,0,0
"Ava Max",May 2016,0,0
"Ava Max",Jun 2016,0,0
"Ava Max",Jul 2016,0,0
"Ava Max",Aug 2016,0,0
"Ava Max",Sep 2016,0,0
"Ava Max",Oct 2016,0,0
"Ava Max",Nov 2016,0,0
"Ava Max",Dec 2016,0,0
"Ava Max",Mar 2017,0,0
"Ava Max",Apr 2017,0,0
"Ava Max",May 2017,0,0
"Ava Max",Jun 2017,0,0
"Ava Max",Jul 2017,0,0
"Ava Max",Aug 2017,0,0
"Ava Max",Sep 2017,0,0
"Ava Max",Oct 2017,0,0
"Ava Max",Nov 2017,0,0
"Ava Max",Dec 2017,0,0
"Ava Max",Jan 2018,0,0
"Ava Max",Feb 2018,0,0
"Ava Max",Mar 2018,0,0
"Ava Max",Apr 2018,0,0
"Ava Max",May 2018,0,0
"Ava Max",Jun 2018,0,0
"Ava Max",Jul 2018,0,0
"Ava Max",Aug 2018,0,0
"Ava Max",Sep 2018,0,0
"Ava Max",Oct 2018,46,2.13754646840149
"Ava Max",Nov 2018,66,3.44287949921753
"Ava Max",Dec 2018,21,1.02289332683877
"Ava Max",Jan 2019,38,2.42501595405233
"Ava Max",Feb 2019,51,3.13653136531365
"Ava Max",Mar 2019,32,1.94884287454324
"Ava Max",Apr 2019,30,1.64835164835165
"Ava Max",May 2019,21,1.24186871673566
"Ava Max",Jun 2019,24,1.61073825503356
"Ava Max",Jul 2019,19,1.31670131670132
"Ava Max",Aug 2019,79,7.41784037558685
"Ava Max",Sep 2019,24,2.4896265560166
"Ava Max",Oct 2019,11,0.780141843971631
"Britney Spears",Oct 2015,0,0
"Britney Spears",Nov 2015,1,0.0599520383693046
"Britney Spears",Dec 2015,1,0.159744408945687
"Britney Spears",Jan 2016,2,0.240096038415366
"Britney Spears",Feb 2016,2,0.431034482758621
"Britney Spears",Mar 2016,2,0.281293952180028
"Britney Spears",Apr 2016,27,2.29007633587786
"Britney Spears",May 2016,10,0.560224089635854
"Britney Spears",Jun 2016,3,0.344036697247706
"Britney Spears",Jul 2016,0,0
"Britney Spears",Aug 2016,2,0.207900207900208
"Britney Spears",Sep 2016,1,0.0801924619085806
"Britney Spears",Oct 2016,4,0.321285140562249
"Britney Spears",Nov 2016,1,0.101522842639594
"Britney Spears",Dec 2016,4,0.265604249667995
"Britney Spears",Mar 2017,9,0.535077288941736
"Britney Spears",Apr 2017,4,0.233508464681845
"Britney Spears",May 2017,6,0.379746835443038
"Britney Spears",Jun 2017,1,0.0794912559618442
"Britney Spears",Jul 2017,3,0.300902708124373
"Britney Spears",Aug 2017,1,0.161812297734628
"Britney Spears",Sep 2017,1,0.12970168612192
"Britney Spears",Oct 2017,1,0.115340253748558
"Britney Spears",Nov 2017,0,0
"Britney Spears",Dec 2017,0,0
"Britney Spears",Jan 2018,4,0.162074554294976
"Britney Spears",Feb 2018,3,0.13094718463553
"Britney Spears",Mar 2018,9,0.325262016624503
"Britney Spears",Apr 2018,18,0.738916256157635
"Britney Spears",May 2018,7,0.30987162461266
"Britney Spears",Jun 2018,18,0.764655904842821
"Britney Spears",Jul 2018,35,1.49764655541292
"Britney Spears",Aug 2018,21,0.856094578067672
"Britney Spears",Sep 2018,5,0.218722659667542
"Britney Spears",Oct 2018,43,1.99814126394052
"Britney Spears",Nov 2018,5,0.260824204486176
"Britney Spears",Dec 2018,13,0.63321967851924
"Britney Spears",Jan 2019,9,0.574345883854499
"Britney Spears",Feb 2019,18,1.1070110701107
"Britney Spears",Mar 2019,26,1.58343483556638
"Britney Spears",Apr 2019,29,1.59340659340659
"Britney Spears",May 2019,8,0.473092844470727
"Britney Spears",Jun 2019,4,0.268456375838926
"Britney Spears",Jul 2019,10,0.693000693000693
"Britney Spears",Aug 2019,2,0.187793427230047
"Britney Spears",Sep 2019,6,0.622406639004149
"Britney Spears",Oct 2019,1,0.0709219858156028
"Britt Nicole",Oct 2015,5,0.327225130890052
"Britt Nicole",Nov 2015,15,0.899280575539568
"Britt Nicole",Dec 2015,15,2.3961661341853
"Britt Nicole",Jan 2016,13,1.56062424969988
"Britt Nicole",Feb 2016,9,1.93965517241379
"Britt Nicole",Mar 2016,26,3.65682137834037
"Britt Nicole",Apr 2016,53,4.49533502968617
"Britt Nicole",May 2016,22,1.23249299719888
"Britt Nicole",Jun 2016,11,1.26146788990826
"Britt Nicole",Jul 2016,12,2.01342281879195
"Britt Nicole",Aug 2016,5,0.51975051975052
"Britt Nicole",Sep 2016,8,0.641539695268645
"Britt Nicole",Oct 2016,82,6.5863453815261
"Britt Nicole",Nov 2016,8,0.812182741116751
"Britt Nicole",Dec 2016,27,1.79282868525896
"Britt Nicole",Mar 2017,12,0.713436385255648
"Britt Nicole",Apr 2017,20,1.16754232340922
"Britt Nicole",May 2017,11,0.69620253164557
"Britt Nicole",Jun 2017,5,0.397456279809221
"Britt Nicole",Jul 2017,10,1.00300902708124
"Britt Nicole",Aug 2017,6,0.970873786407767
"Britt Nicole",Sep 2017,6,0.778210116731518
"Britt Nicole",Oct 2017,6,0.69204152249135
"Britt Nicole",Nov 2017,2,0.139664804469274
"Britt Nicole",Dec 2017,8,0.506970849176172
"Britt Nicole",Jan 2018,75,3.03889789303079
"Britt Nicole",Feb 2018,22,0.960279353993889
"Britt Nicole",Mar 2018,8,0.289121792555114
"Britt Nicole",Apr 2018,2,0.0821018062397373
"Britt Nicole",May 2018,9,0.398406374501992
"Britt Nicole",Jun 2018,77,3.27102803738318
"Britt Nicole",Jul 2018,23,0.984167736414206
"Britt Nicole",Aug 2018,94,3.83204239706482
"Britt Nicole",Sep 2018,33,1.44356955380577
"Britt Nicole",Oct 2018,30,1.39405204460967
"Britt Nicole",Nov 2018,6,0.312989045383412
"Britt Nicole",Dec 2018,13,0.63321967851924
"Britt Nicole",Jan 2019,60,3.82897255902999
"Britt Nicole",Feb 2019,46,2.8290282902829
"Britt Nicole",Mar 2019,34,2.07064555420219
"Britt Nicole",Apr 2019,18,0.989010989010989
"Britt Nicole",May 2019,2,0.118273211117682
"Britt Nicole",Jun 2019,0,0
"Britt Nicole",Jul 2019,5,0.346500346500347
"Britt Nicole",Aug 2019,3,0.28169014084507
"Britt Nicole",Sep 2019,20,2.0746887966805
"Britt Nicole",Oct 2019,6,0.425531914893617
"Cardiknox",Oct 2015,0,0
"Cardiknox",Nov 2015,0,0
"Cardiknox",Dec 2015,0,0
"Cardiknox",Jan 2016,0,0
"Cardiknox",Feb 2016,0,0
"Cardiknox",Mar 2016,0,0
"Cardiknox",Apr 2016,0,0
"Cardiknox",May 2016,0,0
"Cardiknox",Jun 2016,0,0
"Cardiknox",Jul 2016,0,0
"Cardiknox",Aug 2016,0,0
"Cardiknox",Sep 2016,0,0
"Cardiknox",Oct 2016,0,0
"Cardiknox",Nov 2016,0,0
"Cardiknox",Dec 2016,34,2.25763612217796
"Cardiknox",Mar 2017,5,0.297265160523187
"Cardiknox",Apr 2017,3,0.175131348511384
"Cardiknox",May 2017,6,0.379746835443038
"Cardiknox",Jun 2017,1,0.0794912559618442
"Cardiknox",Jul 2017,0,0
"Cardiknox",Aug 2017,0,0
"Cardiknox",Sep 2017,1,0.12970168612192
"Cardiknox",Oct 2017,0,0
"Cardiknox",Nov 2017,1,0.0698324022346369
"Cardiknox",Dec 2017,7,0.443599493029151
"Cardiknox",Jan 2018,4,0.162074554294976
"Cardiknox",Feb 2018,2,0.0872981230903535
"Cardiknox",Mar 2018,16,0.578243585110228
"Cardiknox",Apr 2018,18,0.738916256157635
"Cardiknox",May 2018,2,0.0885347498893316
"Cardiknox",Jun 2018,2,0.0849617672047579
"Cardiknox",Jul 2018,2,0.0855798031664527
"Cardiknox",Aug 2018,3,0.122299225438239
"Cardiknox",Sep 2018,2,0.0874890638670166
"Cardiknox",Oct 2018,126,5.8550185873606
"Cardiknox",Nov 2018,17,0.886802295253
"Cardiknox",Dec 2018,29,1.4125669751583
"Cardiknox",Jan 2019,37,2.36119974473516
"Cardiknox",Feb 2019,20,1.230012300123
"Cardiknox",Mar 2019,11,0.669914738124239
"Cardiknox",Apr 2019,21,1.15384615384615
"Cardiknox",May 2019,15,0.887049083382614
"Cardiknox",Jun 2019,7,0.469798657718121
"Cardiknox",Jul 2019,8,0.554400554400554
"Cardiknox",Aug 2019,1,0.0938967136150235
"Cardiknox",Sep 2019,2,0.20746887966805
"Cardiknox",Oct 2019,6,0.425531914893617
"Carly Rae Jepsen",Oct 2015,401,26.2434554973822
"Carly Rae Jepsen",Nov 2015,247,14.8081534772182
"Carly Rae Jepsen",Dec 2015,87,13.8977635782748
"Carly Rae Jepsen",Jan 2016,234,28.0912364945978
"Carly Rae Jepsen",Feb 2016,73,15.7327586206897
"Carly Rae Jepsen",Mar 2016,85,11.9549929676512
"Carly Rae Jepsen",Apr 2016,88,7.46395250212044
"Carly Rae Jepsen",May 2016,119,6.66666666666667
"Carly Rae Jepsen",Jun 2016,26,2.98165137614679
"Carly Rae Jepsen",Jul 2016,38,6.3758389261745
"Carly Rae Jepsen",Aug 2016,241,25.051975051975
"Carly Rae Jepsen",Sep 2016,316,25.3408179631115
"Carly Rae Jepsen",Oct 2016,170,13.6546184738956
"Carly Rae Jepsen",Nov 2016,93,9.44162436548223
"Carly Rae Jepsen",Dec 2016,153,10.1593625498008
"Carly Rae Jepsen",Mar 2017,173,10.2853745541023
"Carly Rae Jepsen",Apr 2017,193,11.266783420899
"Carly Rae Jepsen",May 2017,254,16.0759493670886
"Carly Rae Jepsen",Jun 2017,180,14.308426073132
"Carly Rae Jepsen",Jul 2017,211,21.1634904714142
"Carly Rae Jepsen",Aug 2017,75,12.1359223300971
"Carly Rae Jepsen",Sep 2017,76,9.85732814526589
"Carly Rae Jepsen",Oct 2017,98,11.3033448673587
"Carly Rae Jepsen",Nov 2017,170,11.8715083798883
"Carly Rae Jepsen",Dec 2017,182,11.5335868187579
"Carly Rae Jepsen",Jan 2018,267,10.8184764991896
"Carly Rae Jepsen",Feb 2018,374,16.3247490178961
"Carly Rae Jepsen",Mar 2018,335,12.1069750632454
"Carly Rae Jepsen",Apr 2018,389,15.9688013136289
"Carly Rae Jepsen",May 2018,308,13.6343514829571
"Carly Rae Jepsen",Jun 2018,230,9.77060322854715
"Carly Rae Jepsen",Jul 2018,244,10.4407359863072
"Carly Rae Jepsen",Aug 2018,232,9.45780676722381
"Carly Rae Jepsen",Sep 2018,192,8.3989501312336
"Carly Rae Jepsen",Oct 2018,160,7.43494423791822
"Carly Rae Jepsen",Nov 2018,504,26.2910798122066
"Carly Rae Jepsen",Dec 2018,357,17.3891865562591
"Carly Rae Jepsen",Jan 2019,209,13.3375877472878
"Carly Rae Jepsen",Feb 2019,305,18.7576875768758
"Carly Rae Jepsen",Mar 2019,237,14.4336175395859
"Carly Rae Jepsen",Apr 2019,240,13.1868131868132
"Carly Rae Jepsen",May 2019,322,19.0419869899468
"Carly Rae Jepsen",Jun 2019,246,16.510067114094
"Carly Rae Jepsen",Jul 2019,259,17.9487179487179
"Carly Rae Jepsen",Aug 2019,188,17.6525821596244
"Carly Rae Jepsen",Sep 2019,184,19.0871369294606
"Carly Rae Jepsen",Oct 2019,150,10.6382978723404
"Christina Aguilera",Oct 2015,4,0.261780104712042
"Christina Aguilera",Nov 2015,9,0.539568345323741
"Christina Aguilera",Dec 2015,8,1.2779552715655
"Christina Aguilera",Jan 2016,1,0.120048019207683
"Christina Aguilera",Feb 2016,0,0
"Christina Aguilera",Mar 2016,3,0.421940928270042
"Christina Aguilera",Apr 2016,6,0.508905852417303
"Christina Aguilera",May 2016,10,0.560224089635854
"Christina Aguilera",Jun 2016,15,1.72018348623853
"Christina Aguilera",Jul 2016,6,1.00671140939597
"Christina Aguilera",Aug 2016,1,0.103950103950104
"Christina Aguilera",Sep 2016,5,0.400962309542903
"Christina Aguilera",Oct 2016,4,0.321285140562249
"Christina Aguilera",Nov 2016,3,0.304568527918782
"Christina Aguilera",Dec 2016,9,0.597609561752988
"Christina Aguilera",Mar 2017,16,0.951248513674197
"Christina Aguilera",Apr 2017,29,1.69293636894337
"Christina Aguilera",May 2017,16,1.0126582278481
"Christina Aguilera",Jun 2017,5,0.397456279809221
"Christina Aguilera",Jul 2017,13,1.30391173520562
"Christina Aguilera",Aug 2017,5,0.809061488673139
"Christina Aguilera",Sep 2017,5,0.648508430609598
"Christina Aguilera",Oct 2017,17,1.96078431372549
"Christina Aguilera",Nov 2017,27,1.8854748603352
"Christina Aguilera",Dec 2017,7,0.443599493029151
"Christina Aguilera",Jan 2018,8,0.324149108589951
"Christina Aguilera",Feb 2018,19,0.829332169358359
"Christina Aguilera",Mar 2018,5,0.180701120346946
"Christina Aguilera",Apr 2018,28,1.14942528735632
"Christina Aguilera",May 2018,15,0.664010624169987
"Christina Aguilera",Jun 2018,14,0.594732370433305
"Christina Aguilera",Jul 2018,35,1.49764655541292
"Christina Aguilera",Aug 2018,6,0.244598450876478
"Christina Aguilera",Sep 2018,12,0.5249343832021
"Christina Aguilera",Oct 2018,17,0.78996282527881
"Christina Aguilera",Nov 2018,3,0.156494522691706
"Christina Aguilera",Dec 2018,4,0.194836824159766
"Christina Aguilera",Jan 2019,5,0.319081046585833
"Christina Aguilera",Feb 2019,7,0.43050430504305
"Christina Aguilera",Mar 2019,9,0.548112058465286
"Christina Aguilera",Apr 2019,14,0.769230769230769
"Christina Aguilera",May 2019,1,0.0591366055588409
"Christina Aguilera",Jun 2019,3,0.201342281879195
"Christina Aguilera",Jul 2019,2,0.138600138600139
"Christina Aguilera",Aug 2019,1,0.0938967136150235
"Christina Aguilera",Sep 2019,5,0.518672199170124
"Christina Aguilera",Oct 2019,6,0.425531914893617
"David Guetta",Oct 2015,13,0.850785340314136
"David Guetta",Nov 2015,3,0.179856115107914
"David Guetta",Dec 2015,5,0.798722044728434
"David Guetta",Jan 2016,3,0.360144057623049
"David Guetta",Feb 2016,1,0.21551724137931
"David Guetta",Mar 2016,5,0.70323488045007
"David Guetta",Apr 2016,6,0.508905852417303
"David Guetta",May 2016,6,0.336134453781513
