"Artist","artist_id","genres","followers","artist_popularity","alternative rock","art pop","australian pop","canadian pop","dance pop","edm","electropop","hopebeat","house","indie pop","indie poptimism","indietronica","metropopolis","pop","pop dance","pop edm","pov: indie","rock","swedish idol pop","swedish pop","talent show","tropical","tropical house","uk pop"
"*NSYNC","6Ff53KvcvAj5U7Z1vojB5o","boy band,dance pop,pop",1998569,67,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3LAU","4YLQaW1UU3mrVetC8gNkg5","edm,electro house,mashup,pop dance,progressive electro house,progressive house",336547,55,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"3OH!3","0FWzNDaEu9jdgcYTbcOa4F","electropowerpop,pop punk,pop rap,post-teen pop",933895,62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5 Seconds of Summer","5Rl15oVamLq7FbSb0NNBNy","boy band,pop",9385001,78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"90's kids","6vPr4VCSFC3nJMw0mEBsn0","columbus ohio indie,hopebeat",23546,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a-ha","2jzc5TC5TVFLXQlBNiIUzE","new romantic,new wave,new wave pop,permanent wave,soft rock,synthpop",1999149,72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"A Great Big World","5xKp3UyavIBUsGy3DQdXeF","neo mellow,piano rock,pop rock,viral pop",546665,61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"A Touch of Class","5wTdspmxzb8V4ZjvDodpBo","europop",27314,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Daniel Jacob","66UhqZvodlJrHVZ3J8yrVC","",1279,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABBA","0LcJLqbBmaGUft1e9Mm8HV","europop,swedish pop",10273181,80,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
