"Artist","Track","streams","Lookup","id","artist_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","explicit","song_popularity","album_name","album_id","cluster"
"*NSYNC","Bye Bye Bye",12,"*NSYNC%20Bye%20Bye%20Bye%20%20","62bOmKYxYg7dhrC6gH9vFn","6Ff53KvcvAj5U7Z1vojB5o",0.61,0.926,"8",-4.843,"0",0.0479,0.031,0.0012,0.0821,0.861,172.638,200400,"4",FALSE,73,"No Strings Attached","20RMokVwJ2wjQ0s8FOdOFC","7: Dance Songs"
"*NSYNC","It's Gonna Be Me",31,"*NSYNC%20Its%20Gonna%20Be%20Me%20%20","2AW37v0bDyuOzGP3XnmFuA","6Ff53KvcvAj5U7Z1vojB5o",0.636,0.873,"0",-4.672,"0",0.071,0.0407,0.00000127,0.0372,0.908,165.071,192427,"4",FALSE,71,"No Strings Attached","20RMokVwJ2wjQ0s8FOdOFC","7: Dance Songs"
"3LAU","Better With You",57,"3LAU%20Better%20With%20You%20%20","3D37T7euWvVJ45evRmriIh","4YLQaW1UU3mrVetC8gNkg5",0.571,0.752,"3",-4.872,"1",0.0293,0.0196,0.0000692,0.114,0.25,102.043,192941,"4",FALSE,53,"Better With You","4CoLHunP23dUcORSP1Nfzb","8: Anthem Songs"
"3LAU","Miss Me More",27,"3LAU%20Miss%20Me%20More%20%20","5MjkFGHnn7j7xL4b0MNHc2","4YLQaW1UU3mrVetC8gNkg5",0.527,0.806,"6",-5.368,"1",0.0648,0.0155,0.0000215,0.0612,0.502,193.73,191443,"4",FALSE,42,"Miss Me More","0hqVoxmwMQVmPsmWCKG6qg","6: Energy Pop"
"3OH!3","Don't Trust Me",80,"3OH!3%20Dont%20Trust%20Me%20%20","3bsDo5vjjJI7O8VuytGIrc","0FWzNDaEu9jdgcYTbcOa4F",0.757,0.629,"7",-5.582,"0",0.125,0.018,0,0.339,0.711,129.946,194613,"4",FALSE,36,"Alternative 2K Essentials","66rs1T6AHa48toqzj56ST2","7: Dance Songs"
"3OH!3","Starstrukk (feat. Katy Perry)",16,"3OH!3%20Starstrukk%20(feat.%20Katy%20Perry)%20%20","1hBM2D1ULT3aeKuddSwPsK","0FWzNDaEu9jdgcYTbcOa4F",0.607,0.805,"11",-5.579,"0",0.0608,0.00175,0,0.231,0.232,139.894,202667,"4",TRUE,66,"WANT (Deluxe)","10xgy5KkSpP3prnygQmFoN","8: Anthem Songs"
"5 Seconds of Summer","She Looks So Perfect",13,"5%20Seconds%20of%20Summer%20She%20Looks%20So%20Perfect%20%20","1gugDOSMREb34Xo0c1PlxM","5Rl15oVamLq7FbSb0NNBNy",0.494,0.951,"9",-4.237,"1",0.132,0.000569,0,0.327,0.441,160.025,202496,"4",FALSE,73,"5 Seconds Of Summer","2LkWHNNHgD6BRNeZI2SL1L","6: Energy Pop"
"5 Seconds of Summer","Wildflower",8,"5%20Seconds%20of%20Summer%20Wildflower%20%20","6qlcjGJPTZEwR8nf2nSe9C","5Rl15oVamLq7FbSb0NNBNy",0.644,0.768,"6",-4.316,"1",0.0455,0.174,0,0.469,0.598,108.992,220536,"4",FALSE,61,"CALM","46K4raQPIGem3N031upNj9","5: Live Songs"
"90's kids","IRL",23,"90s%20kids%20IRL%20%20","34BEDEq7nOxTQXhGgkOovX","6vPr4VCSFC3nJMw0mEBsn0",0.268,0.891,"11",-5.021,"1",0.269,0.00109,0,0.591,0.698,93.862,168493,"1",FALSE,33,"IRL","6o1uh3SLkUqcrcRuYE1gpz","3: ""Speak"" Pop"
"a-ha","Take On Me",32,"a-ha%20Take%20On%20Me%20%20","2WfaOiMkCvy7F5fcp2zZ8L","2jzc5TC5TVFLXQlBNiIUzE",0.573,0.902,"6",-7.638,"0",0.054,0.018,0.00125,0.0928,0.876,84.412,225280,"4",FALSE,89,"Hunting High and Low","1ER3B6zev5JEAaqhnyyfbf","7: Dance Songs"
